datetime,Ia (A),Ib (A),Ic (A),Pa (kW),Pb (kW),Pc (kW),Ptot (kW),VAa (V),VAb (V),VAc (V),VAtot (V)
2023-03-10 20:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 21:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 21:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 21:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 21:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 22:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 22:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 22:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 22:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 23:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 23:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 23:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-10 23:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 00:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 00:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 00:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 00:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 01:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 01:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 01:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 01:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 02:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 02:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 02:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 02:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 03:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 03:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 03:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 03:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 04:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 04:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 04:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 04:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 05:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 05:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 05:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 05:45:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 06:00:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 06:15:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 06:30:00,0.35,0.33,0.33,0.0563,0,0.05457,0.02916,0,0,0,0
2023-03-11 06:45:00,0.316540368,0.279347464,0.244679456,0.053773932,0,0.06582491,0.043339593,0,0,0,0
2023-03-11 07:00:00,0.33202791,0.32231012,0.320426203,0.086385652,0,0.054901732,0.090930469,0,0,0,0
2023-03-11 07:15:00,0.393462414,0.38482243,0.389736839,0.124906836,0,0.040670746,0.165326874,0,0,0,0
2023-03-11 07:30:00,0.473706876,0.466619335,0.471777607,0.16307314,0,0.07066685,0.233711235,0,0,0,0
2023-03-11 07:45:00,0.608724503,0.610805893,0.613288006,0.224759334,0,0.124061789,0.348791552,0,0,0,0
2023-03-11 08:00:00,0.844494353,0.849626851,0.85212963,0.32101077,0,0.208646151,0.529780356,0,0,0,0
2023-03-11 08:15:00,1.019580686,1.032442684,1.033882792,0.387197811,0,0.270697574,0.65773962,0,0,0,0
2023-03-11 08:30:00,1.340783623,1.363769235,1.361392923,0.505038186,0,0.381212662,0.886149994,0,0,0,0
2023-03-11 08:45:00,1.371494192,1.395749097,1.393848369,0.515664178,0,0.391305557,0.906672807,0,0,0,0
2023-03-11 09:00:00,1.356758811,1.380374428,1.377391783,0.510739965,0,0.385538835,0.896192337,0,0,0,0
2023-03-11 09:15:00,1.882591062,1.914068939,1.911165395,0.702781856,0,0.563882084,1.266202077,0,0,0,0
2023-03-11 09:30:00,1.463279537,1.489327232,1.485444014,0.551419214,0,0.422502139,0.973978336,0,0,0,0
2023-03-11 09:45:00,1.990801609,2.022498861,2.019889851,0.74032554,0,0.599703881,1.340023263,0,0,0,0
2023-03-11 10:00:00,2.352443714,2.392020304,2.385033822,0.87010463,0,0.719476829,1.589934104,0,0,0,0
2023-03-11 10:15:00,2.924383808,2.96978949,2.963505868,1.073342924,0,0.909712522,1.982723705,0,0,0,0
2023-03-11 10:30:00,4.172897368,4.233288237,4.223134066,1.51282194,0,1.324952609,2.8376789,0,0,0,0
2023-03-11 10:45:00,4.083389314,4.138796946,4.131282413,1.479537121,0,1.293183869,2.77261776,0,0,0,0
2023-03-11 11:00:00,3.272676563,3.320107338,3.313318592,1.194859182,0,1.023353367,2.217856518,0,0,0,0
2023-03-11 11:15:00,3.677428794,3.732098089,3.723074206,1.336777381,0,1.157371271,2.495324924,0,0,0,0
2023-03-11 11:30:00,2.809384752,2.853583796,2.84753523,1.031838488,0,0.869621034,1.901906055,0,0,0,0
2023-03-11 11:45:00,4.748079205,4.813121529,4.801128416,1.710794044,0,1.512089203,3.222675743,0,0,0,0
2023-03-11 12:00:00,5.190678228,5.256961592,5.247506642,1.86645705,0,1.65989342,3.526252958,0,0,0,0
2023-03-11 12:15:00,5.065187625,5.132009109,5.122780382,1.826909347,0,1.616754587,3.443422249,0,0,0,0
2023-03-11 12:30:00,4.880472926,4.944897571,4.934473971,1.759425243,0,1.553605579,3.312929587,0,0,0,0
2023-03-11 12:45:00,4.251502334,4.305991998,4.300015448,1.535993737,0,1.349345267,2.885846936,0,0,0,0
2023-03-11 13:00:00,2.988207891,3.033113809,3.026712467,1.090656228,0,0.930220085,2.021444988,0,0,0,0
2023-03-11 13:15:00,3.150517538,3.199049587,3.191664167,1.148291824,0,0.982033662,2.130425712,0,0,0,0
2023-03-11 13:30:00,3.610466859,3.662159999,3.652468459,1.308052769,0,1.132577857,2.440532414,0,0,0,0
2023-03-11 13:45:00,4.861915494,4.924405358,4.917230559,1.749796918,0,1.547936027,3.297244225,0,0,0,0
2023-03-11 14:00:00,4.022039458,4.078311134,4.07091925,1.455317191,0,1.26882076,2.724126732,0,0,0,0
